Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for UK
Areal series, starting in 1960
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
2002    8.1    6.5    6.1    3.9    0.5    0.0    0.0    0.0    0.0    3.5    1.4    6.4    31.9    10.5     0.0     4.9    36.4
2003   13.0   14.5    7.8    4.0    0.4    0.0    0.0    0.0    0.2    4.7    3.5   12.2    33.9    12.1     0.0     8.4    60.2
2004   10.3   13.1    7.2    1.2    0.3    0.0    0.0    0.0    0.0    0.5    4.6    9.3    35.6     8.7     0.0     5.2    46.6
2005    6.1   11.4    8.4    3.0    1.7    0.1    0.0    0.0    0.0    0.2   11.2   11.5    26.8    13.2     0.1    11.4    53.6
2006   10.7   11.5   13.6    4.8    0.8    0.0    0.0    0.0    0.0    0.1    3.7    6.5    33.7    19.2     0.0     3.8    51.7
2007    6.0    8.2    5.2    1.3    0.6    0.0    0.0    0.0    0.4    0.8    5.0   11.8    20.7     7.1     0.0     6.2    39.2
2008    6.7   11.3    8.4    6.5    0.4    0.1    0.0    0.0    0.0    3.1    6.0   15.5    29.8    15.2     0.1     9.1    57.9
2009   15.3   12.3    6.8    1.5    0.4    0.1    0.0    0.0    0.0    0.6    2.4   17.5    43.1     8.6     0.1     3.0    56.9
2010   19.0   17.6   11.4    4.3    2.6    0.0    0.0    0.0    0.3    2.5   11.6   24.0    54.2    18.3     0.0    14.4    93.4
2011   15.1    5.7    8.8    0.5    0.8    0.1    0.0    0.0    0.0    0.4    1.5    8.4    44.8    10.1     0.1     1.9    41.3
2012    9.9   11.5    3.1    6.4    2.0    0.2    0.0    0.0    0.3    3.1    6.4   11.8    29.9    11.5     0.2     9.8    54.9
2013   14.2   15.1   19.2    9.3    1.3    0.0    0.0    0.0    0.1    0.3    7.4    4.3    41.1    29.7     0.0     7.7    71.1
2014    6.0    4.0    5.3    1.3    0.6    0.0    0.0    0.0    0.0    0.3    2.5   11.7    14.3     7.2     0.0     2.8    31.7
2015   12.8   11.7    7.5    3.8    1.5    0.2    0.0    0.0    0.0    0.4    3.2    2.8    36.2    12.8     0.2     3.6    43.9
2016    9.8   13.1    8.0    6.6    0.6    0.0    0.0    0.0    0.0    0.5    8.7    6.5    25.7    15.3     0.0     9.2    54.0
2017   14.0    6.4    4.3    3.0    0.5    0.1    0.0    0.0    0.0    0.6    6.9   12.8    26.8     7.7     0.1     7.4    48.3
2018    9.8   16.6   12.7    2.6    0.6    0.0    0.0    0.0    0.1    3.2    2.9    5.5    39.1    15.9     0.0     6.2    54.0
2019   14.2    7.4    3.5    4.4    1.8    0.0    0.0    0.0    0.0    2.2    7.4    7.2    27.0     9.7     0.0     9.6    48.1
2020    5.3    6.3    7.8    2.9    2.4    0.0    0.0    0.0    0.4    0.2    2.9    9.3    18.8    13.1     0.1     3.5    37.6
2021   18.5   10.8    5.1   13.7    2.8    0.1    0.0    0.0    0.0    0.3    4.5    7.1    38.6    21.6     0.1     4.8    62.9
2022   10.2    5.3    6.5    5.8    0.0    0.0    0.0    0.0    0.0    0.1    1.6   14.4    22.6    12.3     0.0     1.8    44.0
2023   10.7    7.3    8.4    3.8    0.1    0.0    0.0    0.0    0.0    1.0    6.2    7.7    32.4    12.3     0.0     7.2    45.2
2024   11.8    5.3    4.3    2.7    0.0    0.0    0.0    0.0                                24.8     7.1     0.1                
