Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1910
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1940   53.7   36.4  103.7  112.4  199.2  264.4  151.2  159.7  141.3   71.7   52.9   34.4   122.9   415.4   575.3   266.0  1381.2
1941   37.8   60.9  104.0  105.8  153.2  191.9  175.8  144.3   97.6   92.6   41.3   33.0   133.1   363.0   512.0   231.5  1238.3
1942   33.4   53.1   75.8  205.4  201.0  191.4  160.4  110.4  124.2   76.4   52.6   30.3   119.6   482.2   462.2   253.2  1314.4
1943   39.2   72.6  118.9  143.1  213.1  182.3  195.9  128.2  120.4   84.9   56.3   37.2   142.1   475.2   506.4   261.6  1392.2
1944   32.2   61.6  113.3  130.0  175.7  146.8  107.2  172.3  122.1   83.1   45.0   40.4   131.1   419.0   426.3   250.3  1229.8
1945   46.4   61.6  109.4  173.4  164.2  170.9  154.6  156.8   90.5   92.4   41.8   33.8   148.4   447.0   482.3   224.7  1295.8
1946   45.7   70.8   99.8  168.0  208.3  156.6  162.0  135.7   95.8   76.5   38.8   49.8   150.2   476.1   454.3   211.2  1307.8
1947   45.4   43.0   78.7  133.6  165.5  156.1  154.2  259.4  123.7   93.8   69.1   27.5   138.3   377.9   569.7   286.7  1350.2
1948   34.9   64.3  143.8  173.8  237.8  148.0  165.2  109.9  114.8   87.6   60.0   46.8   126.6   555.4   423.1   262.4  1386.9
1949   44.5   92.7  112.9  151.1  206.7  243.1  193.5  168.5  136.0   85.4   54.4   39.0   184.0   470.7   605.1   275.8  1527.8
1950   35.9   67.4  112.4  143.1  175.4  212.2  171.2  156.6  101.9   89.7   55.9   36.5   142.3   430.9   540.0   247.5  1358.2
1951   41.7   61.0   85.9  172.1  178.4  213.1  171.7  136.9  107.8   98.1   48.9   44.3   139.2   436.4   521.7   254.8  1359.8
1952   61.3   73.6   93.3  155.9  185.7  170.4  167.3  147.2  111.6   97.7   62.4   44.0   179.2   434.8   484.9   271.6  1370.3
1953   37.1   61.8  130.9  162.5  195.1  149.4  156.3  170.4  124.0   82.4   44.0   32.8   143.0   488.5   476.1   250.4  1346.7
1954   46.8   56.7  101.1  179.8  150.0  138.4  120.0  114.3  139.0   74.7   50.8   36.2   136.3   430.9   372.7   264.5  1207.8
1955   36.6   78.8  138.5  165.1  201.8  158.0  256.9  181.1  140.1  101.4   52.1   38.1   151.6   505.4   596.0   293.7  1548.5
1956   48.2   67.0  129.5  163.0  210.7  160.8  153.9  136.6   91.3   99.6   49.9   19.6   153.3   503.2   451.3   240.8  1330.1
1957   44.8   77.9   80.8  159.9  197.0  265.1  123.5  130.3  106.5   73.6   52.4   46.2   142.3   437.6   518.9   232.6  1358.0
1958   45.9   51.6  103.7  140.0  177.7  132.1  163.7  118.3  118.2   86.3   44.7   30.5   143.7   421.4   414.0   249.2  1212.7
1959   69.7   61.9   95.0  136.8  214.5  210.6  195.6  177.8  172.2  119.6   49.5   28.1   162.1   446.4   584.0   341.3  1531.3
1960   36.9   81.7   74.3  148.0  182.4  235.8  141.3  147.1  123.4   60.8   58.2   47.0   146.6   404.7   524.2   242.4  1336.9
1961   40.8   60.6  118.9  101.4  195.3  186.1  139.9  155.4  117.0   98.7   60.1   49.0   148.4   415.6   481.5   275.8  1323.3
1962   52.8   68.6  112.3  168.4  164.5  208.3  132.4  145.3   97.6   94.0   39.4   53.1   170.3   445.2   486.1   230.9  1336.6
1963   59.4   80.6  101.3  122.0  182.1  180.2  170.2  111.9  127.8   75.8   48.3   41.4   193.1   405.4   462.3   251.9  1301.0
1964   39.8   60.8   64.9  116.4  175.1  147.0  160.7  164.5  151.2   94.4   54.1   41.0   142.1   356.4   472.2   299.7  1269.8
1965   59.7   41.4  118.6  148.1  148.0  158.6  120.7  157.3   91.9   98.4   68.8   45.9   142.1   414.6   436.6   259.1  1257.3
1966   29.7   39.0  108.1  102.6  204.0  141.1  161.4  157.8  119.2   79.4   51.8   35.3   114.5   414.8   460.3   250.3  1229.4
1967   50.2   71.4  131.7  127.4  151.7  207.3  166.0  143.3  107.3   88.6   59.6   49.1   156.8   410.7   516.6   255.5  1353.5
1968   34.3   74.2  105.4  167.5  148.7  189.1  136.2  151.4  106.9   56.8   44.2   31.3   157.6   421.7   476.7   207.9  1246.2
1969   31.2   64.4   80.7  176.9  133.9  230.7  187.4  145.3   98.8   88.6   64.1   29.6   126.9   391.5   563.4   251.5  1331.4
1970   29.5   94.3  111.8  133.3  165.5  231.5  136.8  155.1  115.9   84.4   51.8   42.7   153.4   410.6   523.3   252.1  1352.6
1971   33.0   60.7   87.4  122.2  210.7  141.9  211.6  128.4  151.5  113.9   67.6   27.9   136.4   420.3   481.9   333.0  1356.9
1972   36.9   44.1  121.6  134.7  144.6  148.2  169.0  162.2  120.9   91.3   61.5   36.5   108.9   400.9   479.4   273.7  1271.6
1973   31.7   74.4  125.8  147.1  157.5  192.4  146.6  164.4  127.4   88.4   69.2   42.7   142.7   430.3   503.3   285.1  1367.5
1974   41.4   55.5  100.0  167.2  180.9  190.0  150.3  164.0  122.2   78.8   51.4   37.8   139.6   448.1   504.3   252.4  1339.5
1975   35.3   70.8   97.2  123.4  207.2  246.7  180.0  196.5  125.9   95.6   64.7   36.4   143.8   427.8   623.2   286.2  1479.7
1976   42.2   48.6   99.6  144.0  151.3  207.4  223.9  240.9   95.0   65.1   62.0   47.1   127.2   394.9   672.1   222.1  1427.0
1977   45.7   62.0   81.2  150.4  217.8  166.1  185.2  157.7  103.7   89.1   70.8   35.3   154.8   449.3   509.1   263.6  1365.0
1978   47.0   57.4  104.2  112.2  193.9  160.0  135.3  122.7  120.3   80.5   59.6   29.5   139.7   410.3   418.1   260.4  1222.6
1979   51.7   65.6   89.9  120.3  169.7  162.9  150.3  144.3  142.4   88.9   56.8   43.5   146.8   379.9   457.6   288.1  1286.4
1980   49.9   43.5   81.3  162.7  223.5  141.4  130.1  125.9  112.1   93.5   52.0   40.1   136.9   467.5   397.3   257.6  1255.9
1981   41.3   66.7   73.2  149.1  144.7  143.5  136.5  167.5  131.6  101.3   46.4   38.0   148.1   366.9   447.5   279.4  1239.8
1982   45.4   53.9  132.4  160.5  206.5  149.2  171.6  144.6  121.9   64.3   50.2   36.5   137.3   499.4   465.4   236.5  1337.1
1983   39.7   70.0   72.1  134.3  115.9  159.0  210.6  190.1   96.0   91.9   42.1   39.9   146.1   322.3   559.8   229.9  1261.5
1984   53.3   53.6   60.8  201.9  181.7  181.3  213.0  180.1   97.8   87.0   43.7   43.9   146.8   444.4   574.4   228.4  1398.0
1985   47.2   76.6  103.2  121.8  160.0  162.9  156.1  138.9  109.5   94.5   66.5   31.8   167.7   385.0   457.9   270.4  1269.0
1986   46.7   74.1  113.0  126.4  170.2  193.5  145.3  129.1  150.1  100.9   63.3   41.3   152.7   409.7   467.9   314.4  1354.2
1987   45.7   62.3   97.9  138.5  181.7  115.9  145.7  140.8  142.6   94.6   46.8   29.8   149.4   418.1   402.4   284.0  1242.3
1988   46.9   87.7   89.2  128.7  190.7  170.9  130.2  151.4  125.1   87.3   76.0   33.4   164.5   408.6   452.5   288.4  1317.6
1989   52.2   82.4  100.9  131.2  243.1  211.3  244.6  189.9  117.2   79.1   75.3   28.7   168.1   475.1   645.8   271.6  1555.9
1990   46.4   66.9  113.4  186.9  225.0  121.1  239.4  174.4  127.7   84.4   57.9   37.9   142.0   525.3   534.9   270.0  1481.4
1991   59.3   59.1   80.6  147.2  146.1  132.9  167.0  183.5  160.7   74.4   48.0   35.1   156.3   374.0   483.4   283.1  1293.9
