Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1878   93.5   55.5   58.8   60.1  114.5   77.1   37.2  135.4  101.7  121.7  108.6   74.2   259.5   233.4   249.7   332.1  1038.3
1879   62.2   87.4   62.7   62.6   75.0  126.5  127.5  143.1  110.4   52.6   46.9   61.6   223.8   200.3   397.1   209.8  1018.4
1880   42.1  106.2   57.2   75.3   41.6   78.5  134.7   36.9  106.4  116.0  119.5  120.6   209.9   174.1   250.1   342.0  1035.0
1881   32.6  105.2   91.4   36.6   61.8   85.5   93.3  129.8   71.0   92.2  132.5  113.3   258.3   189.8   308.5   295.7  1045.0
1882   88.1   84.4   94.2  103.0   58.4  109.1  126.5   85.9   92.0  130.8  145.9  129.4   285.8   255.6   321.5   368.7  1247.7
1883  120.5  120.2   53.6   49.1   57.5   79.2   98.3   84.7  126.0  114.9  133.3   87.0   370.1   160.2   262.3   374.2  1124.4
1884  143.0   96.2   84.7   44.1   63.0   41.0  105.9   63.0   77.3   86.8   88.9  125.5   326.2   191.8   209.8   253.0  1019.4
1885   79.4  117.7   63.5   65.3   81.4   56.8   38.9   64.2  145.9  135.5   93.5   72.4   322.7   210.1   159.9   374.9  1014.5
1886  125.9   42.1   85.8   61.8  112.8   40.6   99.6   59.2   93.1  127.2  108.2  139.8   240.4   260.3   199.4   328.5  1096.1
1887   91.5   53.5   51.1   50.3   49.1   25.6   63.4   68.1   98.2   74.8   93.8   87.5   284.8   150.5   157.0   266.9   806.9
1888   62.1   42.8   95.2   60.1   57.6   74.2  142.2   90.6   40.7   73.7  164.8   89.9   192.3   212.8   307.1   279.2   993.8
1889   63.2   80.4   78.2   83.3   77.4   24.6   75.6  125.5   61.3  116.3   58.9   86.9   233.4   238.9   225.7   236.5   931.6
1890  145.8   30.0   83.4   46.9   60.5   89.5   97.1  106.1   69.0   95.3  150.0   37.9   262.7   190.8   292.6   314.2  1011.2
1891   79.3   24.2   71.8   45.6   78.1   53.1   87.5  155.8  100.7  156.7  101.8  153.4   141.4   195.5   296.3   359.1  1107.9
1892   83.0   63.7   33.4   37.7   82.8   84.3   71.7  122.9  110.2  138.0   88.5   61.2   300.2   153.9   278.9   336.8   977.6
1893   68.0  117.5   34.6   23.1   49.5   44.8   96.3   86.6   84.8  116.4   90.5  127.5   246.7   107.2   227.8   291.7   939.7
1894  118.0  140.8   75.4   50.8   77.9   71.4  103.2  105.5   32.3  108.1  118.6   99.4   386.3   204.1   280.1   259.0  1101.4
1895   91.8   17.8   91.5   63.8   21.8   48.3  119.1  114.8   40.7  117.1  127.1  105.9   208.9   177.1   282.3   284.8   959.7
1896   58.9   43.5  117.3   47.7   18.8   81.7   81.1   75.6  150.4  124.0   46.5  141.6   208.3   183.8   238.4   320.9   987.1
1897   55.7   86.9  129.5   69.1   51.2   91.7   51.8  121.3  100.4   58.9   82.3  137.9   284.2   249.8   264.8   241.6  1036.6
1898   68.4   89.1   55.0   79.8   86.4   64.6   34.7  104.5   67.6  119.0  110.3  142.8   295.3   221.2   203.7   296.9  1022.1
1899  131.0   76.2   63.8   99.1   78.1   48.0   67.6   41.1  116.3   90.2  110.1   96.6   350.0   241.0   156.6   316.6  1018.0
1900  131.0  113.7   33.9   62.9   64.6   85.4   72.1  120.2   64.5  125.2  112.0  163.2   341.3   161.4   277.8   301.8  1148.8
1901   71.2   52.2   78.0   77.2   39.7   69.2   61.3   89.6   65.8   96.1   85.3  139.8   286.6   194.9   220.2   247.3   925.6
1902   69.7   44.4   73.4   55.2   79.2   65.4   70.5   87.1   64.7   84.9   83.5  104.2   254.0   207.7   223.0   233.1   882.2
1903  131.4  108.4  147.3   59.6   78.5   67.0  113.6  146.0  102.0  220.0   88.2   82.1   344.0   285.5   326.6   410.2  1344.1
1904  108.4  109.7   59.4   85.2   75.9   46.3   71.5  105.8   73.2   58.8   73.8   95.9   300.2   220.5   223.6   205.8   963.9
1905   62.2   65.0  117.5   76.2   38.0   65.8   52.7  118.6   72.2   83.7  122.9   57.7   223.1   231.7   237.1   278.9   932.7
1906  142.5   87.9   73.2   44.7  101.7   51.0   55.0   94.4   42.8  153.4  122.2   98.8   288.2   219.6   200.4   318.4  1067.6
1907   61.9   71.0   72.0   78.1   94.2  111.8   67.9  101.8   29.3  146.5   88.5  120.0   231.6   244.3   281.5   264.3  1043.0
1908   82.5   78.4  113.4   70.0   65.5   53.3   85.0   96.9  108.8   52.7   76.4   95.9   280.9   248.9   235.1   237.9   978.7
1909   79.5   44.3   97.9   80.3   56.6   72.8  101.9   78.5   72.0  160.3   57.3  135.2   219.7   234.8   253.1   289.6  1036.5
