Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1933   12.6   14.4   12.7   10.1   12.5   10.5   13.0   10.2    7.5   15.3   10.4    7.4    40.0    35.3    33.7    33.2   136.6
1934   16.2    4.3   15.7   15.4   10.9    9.1   10.7   15.5   15.2   18.4   10.2   23.1    27.9    42.0    35.4    43.8   164.8
1935   10.9   16.4    8.8   16.4    6.3   17.9    8.0    9.8   18.3   20.2   19.5   15.8    50.4    31.5    35.7    57.9   168.3
1936   19.2   13.1   13.0    9.9    7.7   12.6   20.5    9.6   13.6   13.3   15.4   17.0    48.1    30.6    42.7    42.3   164.9
1937   20.0   19.7   15.0   13.0   11.2   10.6   12.0    8.7   13.0   10.9    9.1   15.0    56.7    39.1    31.3    33.0   158.1
1938   20.2    9.1    8.5    3.3   13.5   13.2   15.5   13.1   13.8   19.8   18.7   18.1    44.3    25.3    41.8    52.3   166.8
1939   19.1   13.8   14.8   12.5    7.1   11.2   19.2   11.2    7.4   15.0   21.0   10.6    51.0    34.4    41.6    43.4   162.8
1940    9.9   12.3   14.8   13.4    9.2    5.8   18.2    7.8   11.6   14.8   19.3   15.0    32.8    37.4    31.9    45.6   152.1
1941   12.7   16.6   12.2    9.8   10.5    5.6   12.7   19.9    5.6   14.2   15.8   11.7    44.3    32.5    38.1    35.6   147.2
1942   16.3    7.7   11.5    8.6   13.4    5.4   14.6   15.8   15.0   17.0    8.0   19.0    35.6    33.5    35.8    39.9   152.2
1943   20.2   11.9    7.7   11.6   12.3   13.5   10.7   17.8   14.5   14.7   16.3   10.2    51.2    31.6    42.0    45.4   161.4
1944   16.3   10.7    6.5   10.9    9.6   13.8   12.6   11.3   14.8   17.7   20.9   15.0    37.2    27.0    37.6    53.3   159.9
1945   14.7   15.4    8.9   10.0   15.9   16.4   10.9   10.2   13.1   11.1    5.9   17.0    45.1    34.8    37.5    30.2   149.6
1946   14.0   14.2    9.1    9.0    9.7   17.7   14.2   18.8   18.1    6.2   19.9   17.1    45.1    27.8    50.7    44.3   168.1
1947   14.6    8.7   19.8   14.5   13.2   14.0   13.0    2.0   12.8    7.8   15.9   13.3    40.3    47.5    29.0    36.5   149.5
1948   22.9   12.0    8.1   11.9   10.6   16.7   11.1   15.7   13.6   14.4   11.9   15.6    48.2    30.5    43.6    39.9   164.4
1949   13.5   11.2    9.6   13.2   12.1    6.4    8.0   11.1    8.3   16.5   17.8   18.5    40.3    34.9    25.5    42.6   146.3
1950   10.0   16.8   10.7   17.3    9.5   10.5   16.2   18.6   21.3   12.6   18.4   14.7    45.3    37.5    45.3    52.2   176.6
1951   17.2   17.6   17.2   14.2   11.1    8.9   11.0   19.1   12.1    7.4   21.9   17.6    49.5    42.5    39.0    41.3   175.2
1952   16.9    8.9   12.3   10.9   11.3   11.9    9.6   14.6   14.4   15.5   14.2   18.3    43.4    34.6    36.2    44.0   158.9
1953    9.2   10.4    5.4   13.7   10.4   11.2   18.7   13.8   13.1   10.8   13.9   12.0    37.9    29.5    43.7    37.8   142.6
